#sample	status	sequence_file	transposon_position_file	lineage	source	equivalence	SV	reference	minimap2	nucmer	sample	empty
H37Rv_mutated_1	sample	snpmutator_run/H37Rv/H37Rv_mutated_1.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_1.vcf.gz	PAF_VCF/H37Rv_mutated_1.vcf.gz	PSEUDOVCF/H37Rv_mutated_1.vcf.gz	NA	.
H37Rv_mutated_2	sample	snpmutator_run/H37Rv/H37Rv_mutated_2.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_2.vcf.gz	PAF_VCF/H37Rv_mutated_2.vcf.gz	PSEUDOVCF/H37Rv_mutated_2.vcf.gz	NA	.
H37Rv_mutated_3	sample	snpmutator_run/H37Rv/H37Rv_mutated_3.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_3.vcf.gz	PAF_VCF/H37Rv_mutated_3.vcf.gz	PSEUDOVCF/H37Rv_mutated_3.vcf.gz	NA	.
H37Rv_mutated_4	sample	snpmutator_run/H37Rv/H37Rv_mutated_4.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_4.vcf.gz	PAF_VCF/H37Rv_mutated_4.vcf.gz	PSEUDOVCF/H37Rv_mutated_4.vcf.gz	NA	.
H37Rv_mutated_5	sample	snpmutator_run/H37Rv/H37Rv_mutated_5.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_5.vcf.gz	PAF_VCF/H37Rv_mutated_5.vcf.gz	PSEUDOVCF/H37Rv_mutated_5.vcf.gz	NA	.
H37Rv_mutated_6	sample	snpmutator_run/H37Rv/H37Rv_mutated_6.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_6.vcf.gz	PAF_VCF/H37Rv_mutated_6.vcf.gz	PSEUDOVCF/H37Rv_mutated_6.vcf.gz	NA	.
H37Rv_mutated_7	sample	snpmutator_run/H37Rv/H37Rv_mutated_7.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_7.vcf.gz	PAF_VCF/H37Rv_mutated_7.vcf.gz	PSEUDOVCF/H37Rv_mutated_7.vcf.gz	NA	.
H37Rv_mutated_8	sample	snpmutator_run/H37Rv/H37Rv_mutated_8.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_8.vcf.gz	PAF_VCF/H37Rv_mutated_8.vcf.gz	PSEUDOVCF/H37Rv_mutated_8.vcf.gz	NA	.
H37Rv_mutated_9	sample	snpmutator_run/H37Rv/H37Rv_mutated_9.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_9.vcf.gz	PAF_VCF/H37Rv_mutated_9.vcf.gz	PSEUDOVCF/H37Rv_mutated_9.vcf.gz	NA	.
H37Rv_mutated_10	sample	snpmutator_run/H37Rv/H37Rv_mutated_10.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_10.vcf.gz	PAF_VCF/H37Rv_mutated_10.vcf.gz	PSEUDOVCF/H37Rv_mutated_10.vcf.gz	NA	.
H37Rv_mutated_11	sample	snpmutator_run/H37Rv/H37Rv_mutated_11.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_11.vcf.gz	PAF_VCF/H37Rv_mutated_11.vcf.gz	PSEUDOVCF/H37Rv_mutated_11.vcf.gz	NA	.
H37Rv_mutated_12	sample	snpmutator_run/H37Rv/H37Rv_mutated_12.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_12.vcf.gz	PAF_VCF/H37Rv_mutated_12.vcf.gz	PSEUDOVCF/H37Rv_mutated_12.vcf.gz	NA	.
H37Rv_mutated_13	sample	snpmutator_run/H37Rv/H37Rv_mutated_13.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_13.vcf.gz	PAF_VCF/H37Rv_mutated_13.vcf.gz	PSEUDOVCF/H37Rv_mutated_13.vcf.gz	NA	.
H37Rv_mutated_14	sample	snpmutator_run/H37Rv/H37Rv_mutated_14.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_14.vcf.gz	PAF_VCF/H37Rv_mutated_14.vcf.gz	PSEUDOVCF/H37Rv_mutated_14.vcf.gz	NA	.
H37Rv_mutated_15	sample	snpmutator_run/H37Rv/H37Rv_mutated_15.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_15.vcf.gz	PAF_VCF/H37Rv_mutated_15.vcf.gz	PSEUDOVCF/H37Rv_mutated_15.vcf.gz	NA	.
H37Rv_mutated_16	sample	snpmutator_run/H37Rv/H37Rv_mutated_16.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_16.vcf.gz	PAF_VCF/H37Rv_mutated_16.vcf.gz	PSEUDOVCF/H37Rv_mutated_16.vcf.gz	NA	.
H37Rv_mutated_17	sample	snpmutator_run/H37Rv/H37Rv_mutated_17.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_17.vcf.gz	PAF_VCF/H37Rv_mutated_17.vcf.gz	PSEUDOVCF/H37Rv_mutated_17.vcf.gz	NA	.
H37Rv_mutated_18	sample	snpmutator_run/H37Rv/H37Rv_mutated_18.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_18.vcf.gz	PAF_VCF/H37Rv_mutated_18.vcf.gz	PSEUDOVCF/H37Rv_mutated_18.vcf.gz	NA	.
H37Rv_mutated_19	sample	snpmutator_run/H37Rv/H37Rv_mutated_19.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_19.vcf.gz	PAF_VCF/H37Rv_mutated_19.vcf.gz	PSEUDOVCF/H37Rv_mutated_19.vcf.gz	NA	.
H37Rv_mutated_20	sample	snpmutator_run/H37Rv/H37Rv_mutated_20.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_20.vcf.gz	PAF_VCF/H37Rv_mutated_20.vcf.gz	PSEUDOVCF/H37Rv_mutated_20.vcf.gz	NA	.
H37Rv_mutated_21	sample	snpmutator_run/H37Rv/H37Rv_mutated_21.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_21.vcf.gz	PAF_VCF/H37Rv_mutated_21.vcf.gz	PSEUDOVCF/H37Rv_mutated_21.vcf.gz	NA	.
H37Rv_mutated_22	sample	snpmutator_run/H37Rv/H37Rv_mutated_22.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_22.vcf.gz	PAF_VCF/H37Rv_mutated_22.vcf.gz	PSEUDOVCF/H37Rv_mutated_22.vcf.gz	NA	.
H37Rv_mutated_23	sample	snpmutator_run/H37Rv/H37Rv_mutated_23.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_23.vcf.gz	PAF_VCF/H37Rv_mutated_23.vcf.gz	PSEUDOVCF/H37Rv_mutated_23.vcf.gz	NA	.
H37Rv_mutated_24	sample	snpmutator_run/H37Rv/H37Rv_mutated_24.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_24.vcf.gz	PAF_VCF/H37Rv_mutated_24.vcf.gz	PSEUDOVCF/H37Rv_mutated_24.vcf.gz	NA	.
H37Rv_mutated_25	sample	snpmutator_run/H37Rv/H37Rv_mutated_25.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_25.vcf.gz	PAF_VCF/H37Rv_mutated_25.vcf.gz	PSEUDOVCF/H37Rv_mutated_25.vcf.gz	NA	.
H37Rv_mutated_26	sample	snpmutator_run/H37Rv/H37Rv_mutated_26.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_26.vcf.gz	PAF_VCF/H37Rv_mutated_26.vcf.gz	PSEUDOVCF/H37Rv_mutated_26.vcf.gz	NA	.
H37Rv_mutated_27	sample	snpmutator_run/H37Rv/H37Rv_mutated_27.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_27.vcf.gz	PAF_VCF/H37Rv_mutated_27.vcf.gz	PSEUDOVCF/H37Rv_mutated_27.vcf.gz	NA	.
H37Rv_mutated_28	sample	snpmutator_run/H37Rv/H37Rv_mutated_28.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_28.vcf.gz	PAF_VCF/H37Rv_mutated_28.vcf.gz	PSEUDOVCF/H37Rv_mutated_28.vcf.gz	NA	.
H37Rv_mutated_29	sample	snpmutator_run/H37Rv/H37Rv_mutated_29.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_29.vcf.gz	PAF_VCF/H37Rv_mutated_29.vcf.gz	PSEUDOVCF/H37Rv_mutated_29.vcf.gz	NA	.
H37Rv_mutated_30	sample	snpmutator_run/H37Rv/H37Rv_mutated_30.fasta	NA	L4	snpmutator	NA	NA	snpmutator_run/H37Rv/H37Rv_mutated_30.vcf.gz	PAF_VCF/H37Rv_mutated_30.vcf.gz	PSEUDOVCF/H37Rv_mutated_30.vcf.gz	NA	.
SV1_pop1_H1	sample	maketube_run/H37Rv_run/SV1/pop1/FASTA/SV1_pop1_H1.fa	NA	L4	maketube	maketube_run/H37Rv_run/SV1/SV1_equivalence.bed	maketube_run/H37Rv_run/SV1/SV1_SV.bed	maketube_run/H37Rv_run/SV1/pop1/SV1_pop1.vcf.gz	PAF_VCF/SV1_pop1_H1.vcf.gz	PSEUDOVCF/SV1_pop1_H1.vcf.gz	H1	.
SV1_pop1_H10	sample	maketube_run/H37Rv_run/SV1/pop1/FASTA/SV1_pop1_H10.fa	NA	L4	maketube	maketube_run/H37Rv_run/SV1/SV1_equivalence.bed	maketube_run/H37Rv_run/SV1/SV1_SV.bed	maketube_run/H37Rv_run/SV1/pop1/SV1_pop1.vcf.gz	PAF_VCF/SV1_pop1_H10.vcf.gz	PSEUDOVCF/SV1_pop1_H10.vcf.gz	H10	.
SV1_pop1_H2	sample	maketube_run/H37Rv_run/SV1/pop1/FASTA/SV1_pop1_H2.fa	NA	L4	maketube	maketube_run/H37Rv_run/SV1/SV1_equivalence.bed	maketube_run/H37Rv_run/SV1/SV1_SV.bed	maketube_run/H37Rv_run/SV1/pop1/SV1_pop1.vcf.gz	PAF_VCF/SV1_pop1_H2.vcf.gz	PSEUDOVCF/SV1_pop1_H2.vcf.gz	H2	.
SV1_pop1_H3	sample	maketube_run/H37Rv_run/SV1/pop1/FASTA/SV1_pop1_H3.fa	NA	L4	maketube	maketube_run/H37Rv_run/SV1/SV1_equivalence.bed	maketube_run/H37Rv_run/SV1/SV1_SV.bed	maketube_run/H37Rv_run/SV1/pop1/SV1_pop1.vcf.gz	PAF_VCF/SV1_pop1_H3.vcf.gz	PSEUDOVCF/SV1_pop1_H3.vcf.gz	H3	.
SV1_pop1_H4	sample	maketube_run/H37Rv_run/SV1/pop1/FASTA/SV1_pop1_H4.fa	NA	L4	maketube	maketube_run/H37Rv_run/SV1/SV1_equivalence.bed	maketube_run/H37Rv_run/SV1/SV1_SV.bed	maketube_run/H37Rv_run/SV1/pop1/SV1_pop1.vcf.gz	PAF_VCF/SV1_pop1_H4.vcf.gz	PSEUDOVCF/SV1_pop1_H4.vcf.gz	H4	.
SV1_pop1_H5	sample	maketube_run/H37Rv_run/SV1/pop1/FASTA/SV1_pop1_H5.fa	NA	L4	maketube	maketube_run/H37Rv_run/SV1/SV1_equivalence.bed	maketube_run/H37Rv_run/SV1/SV1_SV.bed	maketube_run/H37Rv_run/SV1/pop1/SV1_pop1.vcf.gz	PAF_VCF/SV1_pop1_H5.vcf.gz	PSEUDOVCF/SV1_pop1_H5.vcf.gz	H5	.
SV1_pop1_H6	sample	maketube_run/H37Rv_run/SV1/pop1/FASTA/SV1_pop1_H6.fa	NA	L4	maketube	maketube_run/H37Rv_run/SV1/SV1_equivalence.bed	maketube_run/H37Rv_run/SV1/SV1_SV.bed	maketube_run/H37Rv_run/SV1/pop1/SV1_pop1.vcf.gz	PAF_VCF/SV1_pop1_H6.vcf.gz	PSEUDOVCF/SV1_pop1_H6.vcf.gz	H6	.
SV1_pop1_H7	sample	maketube_run/H37Rv_run/SV1/pop1/FASTA/SV1_pop1_H7.fa	NA	L4	maketube	maketube_run/H37Rv_run/SV1/SV1_equivalence.bed	maketube_run/H37Rv_run/SV1/SV1_SV.bed	maketube_run/H37Rv_run/SV1/pop1/SV1_pop1.vcf.gz	PAF_VCF/SV1_pop1_H7.vcf.gz	PSEUDOVCF/SV1_pop1_H7.vcf.gz	H7	.
