sample	source
BCG_Pasteur	other_lineages
CDC1551	lineage4
Erdman	lineage4
F1	lineage4
FDAARGOS_751	other_lineages
L5_Benin	other_lineages
M0010874_7	lineage4
M0011368_9	lineage4
M0014888_3	lineage4
M0016737_0	lineage4
M0017522_5	lineage4
MTBCR170001	other_lineages
MTBCR170020	other_lineages
TCDC10	other_lineages
TCDC11	other_lineages
TCDC7	other_lineages
W-148	other_lineages
01_R1134	lineage4
01_R1430	lineage4
02_R0894	lineage4
02_R1179	lineage4
02_R1708	lineage4
02_R1896	lineage4
SV10_pop1_H10	maketube
SV10_pop1_H11	maketube
SV10_pop1_H12	maketube
SV10_pop1_H13	maketube
SV10_pop1_H14	maketube
SV10_pop1_H15	maketube
SV10_pop1_H1	maketube
SV10_pop1_H2	maketube
SV10_pop1_H3	maketube
SV10_pop1_H4	maketube
SV10_pop1_H5	maketube
SV10_pop1_H6	maketube
SV10_pop1_H7	maketube
SV10_pop1_H8	maketube
SV10_pop1_H9	maketube
SV11_pop1_H10	maketube
SV11_pop1_H11	maketube
SV11_pop1_H12	maketube
SV11_pop1_H13	maketube
SV11_pop1_H14	maketube
SV11_pop1_H15	maketube
SV11_pop1_H1	maketube
SV11_pop1_H2	maketube
SV11_pop1_H3	maketube
SV11_pop1_H4	maketube
SV11_pop1_H5	maketube
SV11_pop1_H6	maketube
SV11_pop1_H7	maketube
SV11_pop1_H8	maketube
SV11_pop1_H9	maketube
SV12_pop1_H10	maketube
SV12_pop1_H11	maketube
SV12_pop1_H12	maketube
SV12_pop1_H13	maketube
SV12_pop1_H14	maketube
SV12_pop1_H15	maketube
SV12_pop1_H1	maketube
SV12_pop1_H2	maketube
SV12_pop1_H3	maketube
SV12_pop1_H4	maketube
SV12_pop1_H5	maketube
SV12_pop1_H6	maketube
SV12_pop1_H7	maketube
SV12_pop1_H8	maketube
SV12_pop1_H9	maketube
SV13_pop1_H10	maketube
SV13_pop1_H11	maketube
SV13_pop1_H12	maketube
SV13_pop1_H13	maketube
SV13_pop1_H14	maketube
SV13_pop1_H15	maketube
SV13_pop1_H1	maketube
SV13_pop1_H2	maketube
SV13_pop1_H3	maketube
SV13_pop1_H4	maketube
SV13_pop1_H5	maketube
SV13_pop1_H6	maketube
SV13_pop1_H7	maketube
SV13_pop1_H8	maketube
SV13_pop1_H9	maketube
SV14_pop1_H10	maketube
SV14_pop1_H11	maketube
SV14_pop1_H12	maketube
SV14_pop1_H13	maketube
SV14_pop1_H14	maketube
SV14_pop1_H15	maketube
SV14_pop1_H1	maketube
SV14_pop1_H2	maketube
SV14_pop1_H3	maketube
SV14_pop1_H4	maketube
SV14_pop1_H5	maketube
SV14_pop1_H6	maketube
SV14_pop1_H7	maketube
SV14_pop1_H8	maketube
SV14_pop1_H9	maketube
SV15_pop1_H10	maketube
SV15_pop1_H11	maketube
SV15_pop1_H12	maketube
SV15_pop1_H13	maketube
SV15_pop1_H14	maketube
SV15_pop1_H15	maketube
SV15_pop1_H1	maketube
SV15_pop1_H2	maketube
SV15_pop1_H3	maketube
SV15_pop1_H4	maketube
SV15_pop1_H5	maketube
SV15_pop1_H6	maketube
SV15_pop1_H7	maketube
SV15_pop1_H8	maketube
SV15_pop1_H9	maketube
SV16_pop1_H10	maketube
SV16_pop1_H11	maketube
SV16_pop1_H12	maketube
SV16_pop1_H13	maketube
SV16_pop1_H14	maketube
SV16_pop1_H15	maketube
SV16_pop1_H1	maketube
SV16_pop1_H2	maketube
SV16_pop1_H3	maketube
SV16_pop1_H4	maketube
SV16_pop1_H5	maketube
SV16_pop1_H6	maketube
SV16_pop1_H7	maketube
SV16_pop1_H8	maketube
SV16_pop1_H9	maketube
SV17_pop1_H10	maketube
SV17_pop1_H11	maketube
SV17_pop1_H12	maketube
SV17_pop1_H13	maketube
SV17_pop1_H14	maketube
SV17_pop1_H15	maketube
SV17_pop1_H1	maketube
SV17_pop1_H2	maketube
SV17_pop1_H3	maketube
SV17_pop1_H4	maketube
SV17_pop1_H5	maketube
SV17_pop1_H6	maketube
SV17_pop1_H7	maketube
SV17_pop1_H8	maketube
SV17_pop1_H9	maketube
SV18_pop1_H10	maketube
SV18_pop1_H11	maketube
SV18_pop1_H12	maketube
SV18_pop1_H13	maketube
SV18_pop1_H14	maketube
SV18_pop1_H15	maketube
SV18_pop1_H1	maketube
SV18_pop1_H2	maketube
SV18_pop1_H3	maketube
SV18_pop1_H4	maketube
SV18_pop1_H5	maketube
SV18_pop1_H6	maketube
SV18_pop1_H7	maketube
