pipeline	sample	filter	variant_caller	region	region2	variant_class	TP	FP	FN	RECALL	PRECISION	F1
snpmutator	snpmutator_SV10_H1	RAW	freebayes	TOTAL	TOTAL	snp	796	168	4	0.995	0.8257261410788381	0.910363070539419
snpmutator	snpmutator_SV10_H1	RAW	freebayes	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV10_H1	RAW	freebayes	TOTAL	TOTAL	indel	38	65	12	0.76	0.36893203883495146	0.5644660194174758
snpmutator	snpmutator_SV10_H1	RAW	freebayes	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV10_H1	RAW	freebayes	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV10_H1	genotube	freebayes	TOTAL	TOTAL	snp	796	0	4	0.995	1.0	0.9975
snpmutator	snpmutator_SV10_H1	genotube	freebayes	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV10_H1	genotube	freebayes	TOTAL	TOTAL	indel	38	62	12	0.76	0.38	0.5700000000000001
snpmutator	snpmutator_SV10_H1	genotube	freebayes	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV10_H1	genotube	freebayes	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV10_H1	TBprofiler	mpileup	TOTAL	TOTAL	snp	797	9	3	0.99625	0.988833746898263	0.9925418734491315
snpmutator	snpmutator_SV10_H1	TBprofiler	mpileup	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV10_H1	TBprofiler	mpileup	TOTAL	TOTAL	indel	38	62	12	0.76	0.38	0.5700000000000001
snpmutator	snpmutator_SV10_H1	TBprofiler	mpileup	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV10_H1	TBprofiler	mpileup	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
