#strain	SV	source	equivalence	structural_variants	freebayes_raw	genotube	samtools_raw	MTBseq	reference
H37Rv_mutated_1	NA	snpmutator	NA		FREEBAYES_RAW_CALLS/H37Rv_mutated_1.vcf.gz	genotube/H37Rv_mutated_1.vcf.gz	SAMTOOLS_RAW_CALLS/H37Rv_mutated_1.vcf.gz	MTBseq/H37Rv_mutated_1.vcf.gz	snpmutator_run/H37Rv/H37Rv_mutated_1.vcf.gz
H37Rv_mutated_10	NA	snpmutator	NA		FREEBAYES_RAW_CALLS/H37Rv_mutated_10.vcf.gz	genotube/H37Rv_mutated_10.vcf.gz	SAMTOOLS_RAW_CALLS/H37Rv_mutated_10.vcf.gz	MTBseq/H37Rv_mutated_10.vcf.gz	snpmutator_run/H37Rv/H37Rv_mutated_10.vcf.gz
H37Rv_mutated_11	NA	snpmutator	NA		FREEBAYES_RAW_CALLS/H37Rv_mutated_11.vcf.gz	genotube/H37Rv_mutated_11.vcf.gz	SAMTOOLS_RAW_CALLS/H37Rv_mutated_11.vcf.gz	MTBseq/H37Rv_mutated_11.vcf.gz	snpmutator_run/H37Rv/H37Rv_mutated_11.vcf.gz
H37Rv_mutated_12	NA	snpmutator	NA		FREEBAYES_RAW_CALLS/H37Rv_mutated_12.vcf.gz	genotube/H37Rv_mutated_12.vcf.gz	SAMTOOLS_RAW_CALLS/H37Rv_mutated_12.vcf.gz	MTBseq/H37Rv_mutated_12.vcf.gz	snpmutator_run/H37Rv/H37Rv_mutated_12.vcf.gz
H37Rv_mutated_13	NA	snpmutator	NA		FREEBAYES_RAW_CALLS/H37Rv_mutated_13.vcf.gz	genotube/H37Rv_mutated_13.vcf.gz	SAMTOOLS_RAW_CALLS/H37Rv_mutated_13.vcf.gz	MTBseq/H37Rv_mutated_13.vcf.gz	snpmutator_run/H37Rv/H37Rv_mutated_13.vcf.gz
H37Rv_mutated_14	NA	snpmutator	NA		FREEBAYES_RAW_CALLS/H37Rv_mutated_14.vcf.gz	genotube/H37Rv_mutated_14.vcf.gz	SAMTOOLS_RAW_CALLS/H37Rv_mutated_14.vcf.gz	MTBseq/H37Rv_mutated_14.vcf.gz	snpmutator_run/H37Rv/H37Rv_mutated_14.vcf.gz
H37Rv_mutated_15	NA	snpmutator	NA		FREEBAYES_RAW_CALLS/H37Rv_mutated_15.vcf.gz	genotube/H37Rv_mutated_15.vcf.gz	SAMTOOLS_RAW_CALLS/H37Rv_mutated_15.vcf.gz	MTBseq/H37Rv_mutated_15.vcf.gz	snpmutator_run/H37Rv/H37Rv_mutated_15.vcf.gz
H37Rv_mutated_16	NA	snpmutator	NA		FREEBAYES_RAW_CALLS/H37Rv_mutated_16.vcf.gz	genotube/H37Rv_mutated_16.vcf.gz	SAMTOOLS_RAW_CALLS/H37Rv_mutated_16.vcf.gz	MTBseq/H37Rv_mutated_16.vcf.gz	snpmutator_run/H37Rv/H37Rv_mutated_16.vcf.gz
H37Rv_mutated_17	NA	snpmutator	NA		FREEBAYES_RAW_CALLS/H37Rv_mutated_17.vcf.gz	genotube/H37Rv_mutated_17.vcf.gz	SAMTOOLS_RAW_CALLS/H37Rv_mutated_17.vcf.gz	MTBseq/H37Rv_mutated_17.vcf.gz	snpmutator_run/H37Rv/H37Rv_mutated_17.vcf.gz
H37Rv_mutated_18	NA	snpmutator	NA		FREEBAYES_RAW_CALLS/H37Rv_mutated_18.vcf.gz	genotube/H37Rv_mutated_18.vcf.gz	SAMTOOLS_RAW_CALLS/H37Rv_mutated_18.vcf.gz	MTBseq/H37Rv_mutated_18.vcf.gz	snpmutator_run/H37Rv/H37Rv_mutated_18.vcf.gz
